Name	chi2Pvalue	empPvalue
KEGG_ABC_TRANSPORTERS	1.27E-02	1.23E-02
KEGG_ACUTE_MYELOID_LEUKEMIA	5.73E-03	4.18E-03
KEGG_ADHERENS_JUNCTION	1.80E-02	2.11E-02
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2.60E-02	2.86E-02
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	6.26E-01	6.83E-01
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1.38E-01	1.46E-01
KEGG_ALLOGRAFT_REJECTION	9.67E-01	9.54E-01
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	5.50E-01	5.20E-01
KEGG_ALZHEIMERS_DISEASE	3.91E-02	2.62E-02
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	6.04E-01	6.04E-01
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	3.56E-01	3.96E-01
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	6.94E-01	7.41E-01
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	9.19E-01	9.17E-01
KEGG_APOPTOSIS	2.10E-01	2.17E-01
KEGG_ARACHIDONIC_ACID_METABOLISM	8.74E-01	8.31E-01
KEGG_ARGININE_AND_PROLINE_METABOLISM	7.46E-01	8.49E-01
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	4.97E-05	3.59E-05
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	9.30E-01	9.04E-01
KEGG_ASTHMA	8.35E-01	8.35E-01
KEGG_AUTOIMMUNE_THYROID_DISEASE	9.45E-01	9.23E-01
KEGG_AXON_GUIDANCE	8.91E-02	1.02E-01
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	7.85E-02	9.89E-02
KEGG_BASAL_CELL_CARCINOMA	5.16E-01	4.26E-01
KEGG_BASAL_TRANSCRIPTION_FACTORS	4.48E-01	4.39E-01
KEGG_BASE_EXCISION_REPAIR	6.65E-01	6.77E-01
KEGG_BETA_ALANINE_METABOLISM	2.15E-01	3.53E-01
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	8.63E-02	1.09E-01
KEGG_BLADDER_CANCER	2.50E-03	2.81E-03
KEGG_BUTANOATE_METABOLISM	1.20E-01	1.72E-01
KEGG_CALCIUM_SIGNALING_PATHWAY	5.61E-04	1.45E-03
KEGG_CARDIAC_MUSCLE_CONTRACTION	6.85E-02	9.57E-02
KEGG_CELL_ADHESION_MOLECULES_CAMS	9.81E-02	1.18E-01
KEGG_CELL_CYCLE	3.52E-02	2.44E-02
KEGG_CHEMOKINE_SIGNALING_PATHWAY	8.05E-03	1.06E-02
KEGG_CHRONIC_MYELOID_LEUKEMIA	5.80E-04	7.00E-04
KEGG_CIRCADIAN_RHYTHM_MAMMAL	6.17E-01	7.53E-01
