GOID	Ontology Source	GOTerm	GOLevels	GOGroups	Nr. Genes	% Associated Genes	Term PValue	Term PValue Corrected with Bonferroni	Group PValue	Group PValue Corrected with Bonferroni	Associated Genes Found	All Associated Genes	OverViewTerm
KEGG:04012	KEGG_14.03.2012	ErbB signaling pathway	[-1]	[Group0]	31	35.632183	4.60E-29	1.98E-27	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[ABL1, ABL2, CBL, CBLB, CBLC, CRK, CRKL, EGFR, ERBB2, ERBB3, ERBB4, GAB1, GRB2, MAPK1, MAPK3, NCK1, NCK2, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PTK2, SHC1, SHC2, SHC3, SOS1, SOS2, SRC, STAT5A, STAT5B]	[ABL1, ABL2, AKT1, AKT2, AKT3, ARAF, AREG, BAD, BRAF, BTC, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CBL, CBLB, CBLC, CDKN1A, CDKN1B, CRK, CRKL, EGF, EGFR, EIF4EBP1, ELK1, ERBB2, ERBB3, ERBB4, EREG, GAB1, GRB2, GSK3B, HBEGF, HRAS, JUN, KRAS, MAP2K1, MAP2K2, MAP2K4, MAP2K7, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MTOR, MYC, NCK1, NCK2, NRAS, NRG1, NRG2, NRG3, NRG4, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PRKCA, PRKCB, PRKCG, PTK2, RAF1, RPS6KB1, RPS6KB2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SRC, STAT5A, STAT5B, TGFA]	TRUE
KEGG:04660	KEGG_14.03.2012	T cell receptor signaling pathway	[-1]	[Group0]	30	27.777779	1.86E-24	8.01E-23	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[CBL, CBLB, CBLC, CD247, CD28, CD3E, FYN, GRAP2, GRB2, ITK, LAT, LCK, LCP2, MAPK1, MAPK3, NCK1, NCK2, PIK3R1, PIK3R2, PIK3R3, PLCG1, PTPN6, PTPRC, SOS1, SOS2, TEC, VAV1, VAV2, VAV3, ZAP70]	[AKT1, AKT2, AKT3, BCL10, CARD11, CBL, CBLB, CBLC, CD247, CD28, CD3D, CD3E, CD3G, CD4, CD40LG, CD8A, CD8B, CDC42, CDK4, CHP, CHP2, CHUK, CSF2, CTLA4, DLG1, FOS, FYN, GRAP2, GRB2, GSK3B, HRAS, ICOS, IFNG, IKBKB, IKBKG, IL10, IL2, IL4, IL5, ITK, JUN, KRAS, LAT, LCK, LCP2, MALT1, MAP2K1, MAP2K2, MAP2K7, MAP3K14, MAP3K7, MAP3K8, MAPK1, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK9, NCK1, NCK2, NFAT5, NFATC1, NFATC2, NFATC3, NFATC4, NFKB1, NFKBIA, NFKBIB, NFKBIE, NRAS, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PDCD1, PDK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRKCQ, PTPN6, PTPRC, RAF1, RASGRP1, RELA, RHOA, SOS1, SOS2, TEC, TNF, VAV1, VAV2, VAV3, ZAP70]	FALSE
KEGG:04630	KEGG_14.03.2012	Jak-STAT signaling pathway	[-1]	[Group0]	33	21.290323	7.76E-23	3.34E-21	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[CBL, CBLB, CBLC, CSF2RB, CSF3R, EPOR, GHR, GRB2, IFNAR1, IL2RB, IL2RG, IL4R, IL6ST, IL7R, JAK1, JAK2, JAK3, MPL, PIK3R1, PIK3R2, PIK3R3, PTPN11, PTPN6, SOCS1, SOCS2, SOCS3, SOCS7, SOS1, SOS2, STAT1, STAT3, STAT5A, STAT5B]	[AKT1, AKT2, AKT3, BCL2L1, CBL, CBLB, CBLC, CCND1, CCND2, CCND3, CISH, CLCF1, CNTF, CNTFR, CREBBP, CRLF2, CSF2, CSF2RA, CSF2RB, CSF3, CSF3R, CSH1, CTF1, EP300, EPO, EPOR, GH1, GH2, GHR, GRB2, IFNA1, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNE, IFNG, IFNGR1, IFNGR2, IFNK, IFNW1, IL10, IL10RA, IL10RB, IL11, IL11RA, IL12A, IL12B, IL12RB1, IL12RB2, IL13, IL13RA1, IL13RA2, IL15, IL15RA, IL19, IL2, IL20, IL20RA, IL20RB, IL21, IL21R, IL22, IL22RA1, IL22RA2, IL23A, IL23R, IL24, IL26, IL28A, IL28B, IL28RA, IL29, IL2RA, IL2RB, IL2RG, IL3, IL3RA, IL4, IL4R, IL5, IL5RA, IL6, IL6R, IL6ST, IL7, IL7R, IL9, IL9R, IRF9, JAK1, JAK2, JAK3, LEP, LEPR, LIF, LIFR, MPL, MYC, OSM, OSMR, PIAS1, PIAS2, PIAS3, PIAS4, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIM1, PRL, PRLR, PTPN11, PTPN6, SOCS1, SOCS2, SOCS3, SOCS4, SOCS5, SOCS7, SOS1, SOS2, SPRED1, SPRED2, SPRY1, SPRY2, SPRY3, SPRY4, STAM, STAM2, STAT1, STAT2, STAT3, STAT4, STAT5A, STAT5B, STAT6, TPO, TSLP, TYK2]	FALSE
KEGG:04662	KEGG_14.03.2012	B cell receptor signaling pathway	[-1]	[Group0]	25	32.467533	2.40E-22	1.03E-20	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[BLNK, BTK, CD19, CD22, CD79A, CD79B, DAPP1, FCGR2B, GRB2, INPP5D, LYN, MAPK1, MAPK3, PIK3AP1, PIK3R1, PIK3R2, PIK3R3, PLCG2, PTPN6, SOS1, SOS2, SYK, VAV1, VAV2, VAV3]	[AKT1, AKT2, AKT3, BCL10, BLNK, BTK, CARD11, CD19, CD22, CD72, CD79A, CD79B, CD81, CHP, CHP2, CHUK, CR2, DAPP1, FCGR2B, FOS, GRB2, GSK3B, HRAS, IFITM1, IKBKB, IKBKG, INPP5D, JUN, KRAS, LILRB3, LOC100132941, LOC100291917, LYN, MALT1, MAP2K1, MAP2K2, MAPK1, MAPK3, NFAT5, NFATC1, NFATC2, NFATC3, NFATC4, NFKB1, NFKBIA, NFKBIB, NFKBIE, NRAS, PIK3AP1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG2, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRKCB, PTPN6, RAC1, RAC2, RAC3, RAF1, RASGRP3, RELA, SOS1, SOS2, SYK, VAV1, VAV2, VAV3]	FALSE
KEGG:04666	KEGG_14.03.2012	Fc gamma R-mediated phagocytosis	[-1]	[Group0]	27	28.125	3.30E-22	1.42E-20	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[ASAP1, ASAP2, CRK, CRKL, FCGR1A, FCGR2B, FCGR2C, GAB2, HCK, INPP5D, LAT, LYN, MAPK1, MAPK3, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PLD2, PRKCD, PTPRC, SYK, VAV1, VAV2, VAV3, WAS]	[AKT1, AKT2, AKT3, AMPH, ARF6, ARPC1A, ARPC1B, ARPC2, ARPC3, ARPC4, ARPC5, ARPC5L, ASAP1, ASAP2, ASAP3, CDC42, CFL1, CFL2, CRK, CRKL, DNM1, DNM1L, DNM2, DNM3, DOCK2, FCGR1A, FCGR2A, FCGR2B, FCGR2C, FCGR3A, GAB2, GSN, HCK, INPP5D, LAT, LIMK1, LIMK2, LOC100132941, LOC100291917, LYN, MAP2K1, MAPK1, MAPK3, MARCKS, MARCKSL1, MYO10, NCF1, PAK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIP5K1A, PIP5K1B, PIP5K1C, PLA2G4A, PLA2G4B, PLA2G4D, PLA2G4E, PLA2G4F, PLA2G6, PLCG1, PLCG2, PLD1, PLD2, PPAP2A, PPAP2B, PPAP2C, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PTPRC, RAC1, RAC2, RAF1, RPS6KB1, RPS6KB2, SCIN, SPHK1, SPHK2, SYK, VASP, VAV1, VAV2, VAV3, WAS, WASF1, WASF2, WASF3, WASL]	FALSE
KEGG:04722	KEGG_14.03.2012	Neurotrophin signaling pathway	[-1]	[Group0]	30	23.622047	3.45E-22	1.48E-20	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[ABL1, CRK, CRKL, FASLG, FRS2, GAB1, GRB2, IRS2, IRS4, MAPK1, MAPK3, MATK, NTRK1, NTRK2, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PRKCD, PTPN11, RAPGEF1, SH2B1, SH2B2, SH2B3, SHC1, SHC2, SHC3, SOS1, SOS2]	[ABL1, AKT1, AKT2, AKT3, ARHGDIA, ARHGDIB, ATF4, BAD, BAX, BCL2, BDNF, BRAF, CALM1, CALM2, CALM3, CALML3, CALML5, CALML6, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK4, CDC42, CRK, CRKL, FASLG, FOXO3, FRS2, GAB1, GRB2, GSK3B, HRAS, IKBKB, IRAK1, IRAK2, IRAK3, IRAK4, IRS1, IRS2, IRS4, JUN, KIDINS220, KRAS, MAGED1, MAP2K1, MAP2K2, MAP2K5, MAP2K7, MAP3K1, MAP3K3, MAP3K5, MAPK1, MAPK10, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MAPK7, MAPK8, MAPK9, MAPKAPK2, MATK, NFKB1, NFKBIA, NFKBIB, NFKBIE, NGF, NGFR, NGFRAP1, NRAS, NTF3, NTF4, NTRK1, NTRK2, NTRK3, PDK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PRDM4, PRKCD, PSEN1, PSEN2, PTPN11, RAC1, RAF1, RAP1A, RAP1B, RAPGEF1, RELA, RHOA, RIPK2, RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6KA5, RPS6KA6, SH2B1, SH2B2, SH2B3, SHC1, SHC2, SHC3, SHC4, SORT1, SOS1, SOS2, TP53, TP73, TRAF6, YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ, YWHAZ, ZNF274]	FALSE
KEGG:04650	KEGG_14.03.2012	Natural killer cell mediated cytotoxicity	[-1]	[Group0]	30	21.582733	5.82E-21	2.50E-19	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[CD247, FASLG, FYN, GRB2, IFNAR1, LAT, LCK, LCP2, MAPK1, MAPK3, PIK3R1, PIK3R2, PIK3R3, PLCG1, PLCG2, PTK2B, PTPN11, PTPN6, SH2D1A, SH3BP2, SHC1, SHC2, SHC3, SOS1, SOS2, SYK, VAV1, VAV2, VAV3, ZAP70]	[ARAF, BID, BRAF, CASP3, CD244, CD247, CD48, CHP, CHP2, CSF2, FAS, FASLG, FCER1G, FCGR3A, FCGR3B, FYN, GRB2, GZMB, HCST, HLA-A, HLA-B, HLA-C, HLA-E, HLA-G, HRAS, ICAM1, ICAM2, IFNA1, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNG, IFNGR1, IFNGR2, ITGAL, ITGB2, KIR2DL1, KIR2DL2, KIR2DL3, KIR2DL4, KIR2DL5A, KIR2DS1, KIR2DS3, KIR2DS4, KIR2DS5, KIR3DL1, KIR3DL2, KLRC1, KLRC2, KLRC3, KLRD1, KLRK1, KRAS, LAT, LCK, LCP2, LOC100132941, LOC100291917, MAP2K1, MAP2K2, MAPK1, MAPK3, MICA, MICB, NCR1, NCR2, NCR3, NFAT5, NFATC1, NFATC2, NFATC3, NFATC4, NRAS, PAK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRF1, PRKCA, PRKCB, PRKCG, PTK2B, PTPN11, PTPN6, RAC1, RAC2, RAC3, RAET1E, RAET1G, RAET1L, RAF1, SH2D1A, SH2D1B, SH3BP2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SYK, TNF, TNFRSF10A, TNFRSF10B, TNFRSF10C, TNFRSF10D, TNFSF10, TYROBP, ULBP1, ULBP2, ULBP3, VAV1, VAV2, VAV3, ZAP70]	FALSE
KEGG:04510	KEGG_14.03.2012	Focal adhesion	[-1]	[Group0]	34	17	3.48E-20	1.50E-18	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[BCAR1, CAV1, CRK, CRKL, CTNNB1, EGFR, ERBB2, FLT1, FYN, GRB2, IGF1R, ITGB3, KDR, MAPK1, MAPK3, MET, PDGFRA, PDGFRB, PDPK1, PIK3R1, PIK3R2, PIK3R3, PTK2, PXN, RAPGEF1, SHC1, SHC2, SHC3, SOS1, SOS2, SRC, VAV1, VAV2, VAV3]	[ACTB, ACTG1, ACTN1, ACTN2, ACTN3, ACTN4, AKT1, AKT2, AKT3, ARHGAP5, BAD, BCAR1, BCL2, BIRC2, BIRC3, BRAF, CAPN2, CAV1, CAV2, CAV3, CCND1, CCND2, CCND3, CDC42, CHAD, COL11A1, COL11A2, COL1A1, COL1A2, COL2A1, COL3A1, COL4A1, COL4A2, COL4A4, COL4A5, COL4A6, COL5A1, COL5A2, COL5A3, COL6A1, COL6A2, COL6A3, COL6A6, COMP, CRK, CRKL, CTNNB1, DIAPH1, DOCK1, EGF, EGFR, ELK1, ERBB2, FIGF, FLNA, FLNB, FLNC, FLT1, FLT4, FN1, FYN, GRB2, GRLF1, GSK3B, HGF, HRAS, IBSP, IGF1, IGF1R, ILK, ITGA1, ITGA10, ITGA11, ITGA2, ITGA2B, ITGA3, ITGA4, ITGA5, ITGA6, ITGA7, ITGA8, ITGA9, ITGAV, ITGB1, ITGB3, ITGB4, ITGB5, ITGB6, ITGB7, ITGB8, JUN, KDR, LAMA1, LAMA2, LAMA3, LAMA4, LAMA5, LAMB1, LAMB2, LAMB3, LAMB4, LAMC1, LAMC2, LAMC3, MAP2K1, MAPK1, MAPK10, MAPK3, MAPK8, MAPK9, MET, MYL10, MYL12A, MYL12B, MYL2, MYL5, MYL7, MYL9, MYLK, MYLK2, MYLK3, MYLPF, PAK1, PAK2, PAK3, PAK4, PAK6, PAK7, PARVA, PARVB, PARVG, PDGFA, PDGFB, PDGFC, PDGFD, PDGFRA, PDGFRB, PDPK1, PGF, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PIP5K1C, PPP1CA, PPP1CB, PPP1CC, PPP1R12A, PRKCA, PRKCB, PRKCG, PTEN, PTK2, PXN, RAC1, RAC2, RAC3, RAF1, RAP1A, RAP1B, RAPGEF1, RASGRF1, RELN, RHOA, ROCK1, ROCK2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SPP1, SRC, THBS1, THBS2, THBS3, THBS4, TLN1, TLN2, TNC, TNN, TNR, TNXB, VASP, VAV1, VAV2, VAV3, VCL, VEGFA, VEGFB, VEGFC, VTN, VWF, XIAP, ZYX]	FALSE
KEGG:04062	KEGG_14.03.2012	Chemokine signaling pathway	[-1]	[Group0]	33	17.460318	5.70E-20	2.45E-18	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[BCAR1, CRK, CRKL, CXCR4, FGR, GRB2, HCK, ITK, JAK2, JAK3, LYN, MAPK1, MAPK3, PIK3R1, PIK3R2, PIK3R3, PRKCD, PTK2, PTK2B, PXN, SHC1, SHC2, SHC3, SOS1, SOS2, SRC, STAT1, STAT3, STAT5B, VAV1, VAV2, VAV3, WAS]	[ADCY1, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADRBK1, ADRBK2, AKT1, AKT2, AKT3, ARRB1, ARRB2, BCAR1, BRAF, CCL1, CCL11, CCL13, CCL14, CCL15, CCL16, CCL17, CCL18, CCL19, CCL2, CCL20, CCL21, CCL22, CCL23, CCL24, CCL25, CCL26, CCL27, CCL28, CCL3, CCL3L1, CCL3L3, CCL4, CCL4L1, CCL4L2, CCL5, CCL7, CCL8, CCR1, CCR10, CCR2, CCR3, CCR4, CCR5, CCR6, CCR7, CCR8, CCR9, CDC42, CHUK, CRK, CRKL, CX3CL1, CX3CR1, CXCL1, CXCL10, CXCL11, CXCL12, CXCL13, CXCL14, CXCL16, CXCL2, CXCL3, CXCL5, CXCL6, CXCL9, CXCR1, CXCR2, CXCR3, CXCR4, CXCR5, CXCR6, DOCK2, ELMO1, FGR, FOXO3, GNAI1, GNAI2, GNAI3, GNB1, GNB2, GNB3, GNB4, GNB5, GNG10, GNG11, GNG12, GNG13, GNG2, GNG3, GNG4, GNG5, GNG7, GNG8, GNGT1, GNGT2, GRB2, GRK1, GRK4, GRK5, GRK6, GRK7, GSK3A, GSK3B, HCK, HRAS, IKBKB, IKBKG, IL8, ITK, JAK2, JAK3, KRAS, LYN, MAP2K1, MAPK1, MAPK3, NCF1, NFKB1, NFKBIA, NFKBIB, NRAS, PAK1, PARD3, PF4, PF4V1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCB1, PLCB2, PLCB3, PLCB4, PPBP, PREX1, PRKACA, PRKACB, PRKACG, PRKCB, PRKCD, PRKCZ, PRKX, PTK2, PTK2B, PXN, RAC1, RAC2, RAF1, RAP1A, RAP1B, RASGRP2, RELA, RHOA, ROCK1, ROCK2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SRC, STAT1, STAT2, STAT3, STAT5B, TIAM1, TIAM2, VAV1, VAV2, VAV3, WAS, WASL, XCL1, XCL2, XCR1]	FALSE
KEGG:05220	KEGG_14.03.2012	Chronic myeloid leukemia	[-1]	[Group0]	22	30.136986	5.99E-19	2.58E-17	{Group0=3.5273331891024095E-69}	{Group0=3.5273331891024095E-69}	[ABL1, BCR, CBL, CBLB, CBLC, CRK, CRKL, GAB2, GRB2, MAPK1, MAPK3, PIK3R1, PIK3R2, PIK3R3, PTPN11, SHC1, SHC2, SHC3, SOS1, SOS2, STAT5A, STAT5B]	[ABL1, AKT1, AKT2, AKT3, ARAF, BAD, BCL2L1, BCR, BRAF, CBL, CBLB, CBLC, CCND1, CDK4, CDK6, CDKN1A, CDKN1B, CDKN2A, CHUK, CRK, CRKL, CTBP1, CTBP2, E2F1, E2F2, E2F3, GAB2, GRB2, HDAC1, HDAC2, HRAS, IKBKB, IKBKG, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK3, MDM2, MECOM, MYC, NFKB1, NFKBIA, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PTPN11, RAF1, RB1, RELA, RUNX1, SHC1, SHC2, SHC3, SHC4, SMAD3, SMAD4, SOS1, SOS2, STAT5A, STAT5B, TGFB1, TGFB2, TGFB3, TGFBR1, TGFBR2, TP53]	FALSE
